criterion_id,a_correctness,a_scaffolding,b,n_persons,a_se_approx
tb_0073_c02,1.5416,0.0,2.420852,115,0.399943
tb_0073_c03,5.932842,-0.599478,19.835675,115,4.479058
tb_0073_c06,2.69215,0.0,3.804076,115,0.848715
tb_0074_c05,0.586119,0.0,1.498549,115,0.16194
tb_0074_c08,1.023369,0.0,0.825681,115,0.20301
tb_0074_c09,0.71288,0.0,0.164798,115,0.138358
tb_0075_c02,0.897979,0.0,1.866606,115,0.22959
tb_0075_c03,4.903622,-1.712827,13.317765,115,3.845759
tb_0075_c04,1.372348,0.0,6.154075,115,0.988458
tb_0075_c05,1.137168,0.0,4.424365,115,0.556943
tb_0076_c01,1.214769,0.0,-0.616667,114,0.210384
tb_0076_c03,0.613507,0.0,4.800604,115,0.625679
tb_0077_c02,5.201326,1.847951,13.947552,112,4.181799
tb_0077_c03,2.023572,0.962804,5.699741,113,0.919037
tb_0077_c07,0.0,-0.712635,2.186623,115,0.339519
tb_0078_c02,0.489367,0.0,1.400207,115,0.14604
tb_0078_c03,0.675653,0.0,0.887766,115,0.150201
tb_0078_c05,4.351163,0.0,12.372256,115,3.873966
tb_0078_c17,0.903522,0.0,1.332252,115,0.202326
tb_0079_c01,1.548439,0.0,4.521503,115,0.608861
tb_0079_c02,1.077751,0.0,3.024321,114,0.359511
tb_0079_c03,1.192358,0.0,4.524498,115,0.578436
tb_0079_c04,1.361643,0.643863,3.445724,115,0.446817
tb_0079_c05,0.896982,0.0,2.695361,115,0.291562
tb_0079_c06,0.778439,0.0,1.425931,115,0.186032
tb_0079_c07,1.184835,0.0,3.857504,113,0.473167
tb_0079_c08,0.914876,0.0,3.236874,115,0.351295
tb_0079_c09,0.438572,0.0,1.291572,113,0.136727
tb_0079_c10,0.5482,0.0,1.10836,114,0.141915
tb_0079_c11,0.794799,0.0,1.346643,114,0.185738
tb_0080_c02,0.772275,0.0,1.589567,115,0.193078
tb_0080_c03,1.47438,0.0,-0.297119,115,0.264826
tb_0080_c04,0.785768,0.0,0.320451,115,0.15086
tb_0080_c05,1.49697,0.0,-2.796228,115,0.274794
tb_0080_c06,0.91669,0.0,0.944184,115,0.188657
tb_0080_c09,0.982637,0.624682,1.841681,115,0.247771
tb_0080_c10,0.437473,0.0,1.788624,115,0.15903
tb_0080_c11,0.637072,0.0,4.109482,115,0.455894
tb_0080_c12,0.850814,0.0,0.05378,115,0.155452
tb_0081_c01,1.209561,0.0,-1.723277,115,0.209593
tb_0081_c07,0.796023,0.0,2.559,114,0.26278
